participant,compound_position,pulse_amplitude,biceps_auc
1,2,144.0,0.10877227434763588
1,2,148.0,0.15427474872335722
1,2,152.0,0.20612407074343184
1,2,156.0,0.24127357321497564
1,2,160.0,0.2548530756041056
1,2,164.0,0.2654732754381784
1,2,168.0,0.327432775522798
1,2,172.0,0.3354087703909179
1,2,176.0,0.3579356183685758
1,2,180.0,0.33742430979477694
1,2,184.0,0.3402227684120276
1,2,188.0,0.31549239803285506
1,2,192.0,0.34417148722665664
1,2,196.0,0.2979066212031079
1,2,200.0,0.29431792317805033
1,2,204.0,0.3455957422268615
1,2,208.0,0.35038533591222343
1,2,212.0,0.346102653857016
1,2,216.0,0.4205212397795537
1,2,220.0,0.3322375737019556
1,2,224.0,0.3360651862766091
1,2,228.0,0.3901414492319112
1,2,232.0,0.3199387564742286
1,2,236.0,0.3149965984276173
1,2,240.0,0.335561383402587
1,2,244.0,0.35334871579163585
1,2,248.0,0.3432070414968528
1,2,252.0,0.41277208566765333
1,2,256.0,0.327729281401641
1,2,260.0,0.37855705979084264
1,2,264.0,0.3762821791641182
1,2,268.0,0.35437356017150295
1,2,272.0,0.4028935528271714
1,2,276.0,0.33494837074257594
1,2,280.0,0.34312413769561295
1,2,284.0,0.28464841315776795
1,2,288.0,0.3724335557371434
1,2,292.0,0.3593133290458919
1,2,296.0,0.32861571900731
1,2,300.0,0.36018648244367274
1,2,304.0,0.3681396792749476
1,2,308.0,0.3535971479420757
1,2,312.0,0.3352225139459339
1,2,316.0,0.40944224186793465
1,2,320.0,0.3557130264198065
1,2,324.0,0.35410705859029173
1,2,328.0,0.3830648849289249
1,2,332.0,0.36490460806430897
1,2,336.0,0.3413463900408333
1,2,340.0,0.37131298388215084
1,2,344.0,0.34061631402882225
1,2,348.0,0.34630824441206276
1,2,352.0,0.349875366139993
1,2,356.0,0.3508900663459771
2,1,0.0,0.04250549805929852
2,1,4.0,0.049197953534498774
2,1,8.0,0.041577672893207566
2,1,12.0,0.04395818027361266
2,1,16.0,0.04042685909848304
2,1,20.0,0.041984999544295104
2,1,24.0,0.028954497227008682
2,1,28.0,0.03444785437367857
2,1,32.0,0.03606164227716281
2,1,36.0,0.05007599328480293
2,1,40.0,0.04133969302038733
2,1,44.0,0.053794097384869274
2,1,48.0,0.04613555555251527
2,1,52.0,0.036483371868596765
2,1,56.0,0.04531134513908548
2,1,60.0,0.03709779636902179
2,1,64.0,0.052483576759757955
2,1,68.0,0.04195349166941125
2,1,72.0,0.06033533085800834
2,1,76.0,0.04447594438776397
2,1,80.0,0.03956428826386853
2,1,84.0,0.04664420164636485
2,1,88.0,0.049019053520986185
2,1,92.0,0.0432466157944973
2,1,96.0,0.02907642110148432
2,1,100.0,0.04548793013065466
2,1,104.0,0.057503688835879974
2,1,108.0,0.04182489315932142
2,1,112.0,0.048364066040137536
2,1,116.0,0.04774224634366225
2,1,120.0,0.048094227790077174
2,1,124.0,0.037580796706339396
2,1,128.0,0.03617152840389472
2,1,132.0,0.035844355881432706
2,1,136.0,0.04044801869741967
2,1,140.0,0.03606676319132261
2,1,144.0,0.04260930626183459
2,1,148.0,0.05428119748366901
2,1,152.0,0.047119865119565486
2,1,156.0,0.05402190325067715
2,1,160.0,0.0399174455015784
2,1,164.0,0.04501347815219042
2,1,168.0,0.035429949320123826
2,1,172.0,0.0427807774684778
2,1,176.0,0.05325156820844583
2,1,180.0,0.03668644589191511
2,1,184.0,0.059279916663143806
2,1,188.0,0.054069630943916376
2,1,192.0,0.03761006958667054
2,1,196.0,0.031074505387668223
2,1,200.0,0.045566526548800175
2,1,204.0,0.036258494756906484
2,1,208.0,0.03706242318795822
2,1,212.0,0.045451736072611514
2,1,216.0,0.04403675203006135
2,1,220.0,0.0708260957117781
2,1,224.0,0.12406871844137904
2,1,228.0,0.15900348372977785
2,1,232.0,0.25543158860345394
2,1,236.0,0.3048376216639251
2,1,240.0,0.37320356082753553
2,1,244.0,0.4246560004683798
2,1,248.0,0.569968112438978
2,1,252.0,0.6066026305201819
2,1,256.0,0.682221011880182
2,1,260.0,0.7363506746912819
2,1,264.0,0.8670347852946025
2,1,268.0,0.9199394906206136
2,1,272.0,0.9803783177502261
2,1,276.0,1.0431237238801188
2,1,280.0,1.150240883414059
2,1,284.0,1.3503956073263945
2,1,288.0,1.2541800655999955
2,1,292.0,1.4674539101949966
2,1,296.0,1.3807094349245914
2,1,300.0,1.5137022230087445
2,1,304.0,1.6851738879457836
2,1,308.0,1.750274765336945
2,1,312.0,1.7718036749443122
2,1,316.0,1.7972872574593834
2,1,320.0,2.0511408696215265
2,1,324.0,2.078341134573924
2,1,328.0,1.91041415764799
2,1,332.0,2.126551576572561
2,1,336.0,2.3037288747520717
2,1,340.0,2.0607351181762037
2,1,344.0,2.406699820103374
2,1,348.0,2.6056395989447982
2,1,352.0,1.966195543069737
2,1,356.0,2.6306101014808245
2,2,0.0,0.014847828342967712
2,2,4.0,0.018155391925486264
2,2,8.0,0.015045092086988333
2,2,12.0,0.017217519134369943
2,2,16.0,0.016903195182642442
2,2,20.0,0.011745629361981187
2,2,24.0,0.01365297798213358
2,2,28.0,0.02020038403365454
2,2,32.0,0.015039252466122675
2,2,36.0,0.022621870988163775
2,2,40.0,0.018628386565776197
2,2,44.0,0.0115383798035791
2,2,48.0,0.017674642894699874
2,2,52.0,0.02074941180969462
2,2,56.0,0.019047206749751914
2,2,60.0,0.01711813632689886
2,2,64.0,0.01612874689166867
2,2,68.0,0.021394520135242765
2,2,72.0,0.01571533792362502
2,2,76.0,0.015006430063967248
2,2,80.0,0.016825282697360687
2,2,84.0,0.01607645323714291
2,2,88.0,0.01324068177162794
2,2,92.0,0.016160959260833115
2,2,96.0,0.016927027659083174
2,2,100.0,0.017358023578433236
2,2,104.0,0.01569400475214031
2,2,108.0,0.01866747454994871
2,2,112.0,0.023425334765353557
2,2,116.0,0.016391542454029934
2,2,120.0,0.018201409737102943
2,2,124.0,0.013748340554712545
2,2,128.0,0.017196087499231207
2,2,132.0,0.013863368098035166
2,2,136.0,0.012654138306443862
2,2,140.0,0.017457833581179392
2,2,144.0,0.021131981993232598
2,2,148.0,0.012677955175407036
2,2,152.0,0.01723672462693516
2,2,156.0,0.01654208032546153
2,2,160.0,0.01803222837392338
2,2,164.0,0.019829567282583296
2,2,168.0,0.01769082220456146
2,2,172.0,0.015373882533531669
2,2,176.0,0.01552724391980384
2,2,180.0,0.014988988594502334
2,2,184.0,0.018087754365343135
2,2,188.0,0.06466505086361413
2,2,192.0,0.8102378306997828
2,2,196.0,1.5793498309708787
2,2,200.0,2.5651627906216485
2,2,204.0,3.1405651284673435
2,2,208.0,3.6527970658992297
2,2,212.0,4.0064317993986895
2,2,216.0,4.328844775882225
2,2,220.0,4.356174856302522
2,2,224.0,4.471637597323477
2,2,228.0,4.525824115483693
2,2,232.0,4.75337182263756
2,2,236.0,4.469867935113864
2,2,240.0,4.6768405701788875
2,2,244.0,4.5681070742126915
2,2,248.0,4.584321101949288
2,2,252.0,4.568806316765817
2,2,256.0,4.560870668176106
2,2,260.0,4.542178303867296
2,2,264.0,4.355660145499515
2,2,268.0,4.431587326620033
2,2,272.0,4.594933336228773
2,2,276.0,4.526033640881461
2,2,280.0,4.731261113520329
2,2,284.0,4.650729198032072
2,2,288.0,4.67099133082285
2,2,292.0,4.595427078516495
2,2,296.0,4.632176511642116
2,2,300.0,4.560227888430785
2,2,304.0,4.552612382222681
2,2,308.0,4.409648735342583
2,2,312.0,4.551112628155353
2,2,316.0,4.528674438538194
2,2,320.0,4.591617926822552
2,2,324.0,4.53181352854047
2,2,328.0,4.664663000462786
2,2,332.0,4.690353045869693
2,2,336.0,4.469144313352924
2,2,340.0,4.645063019205034
2,2,344.0,4.4896470000439646
2,2,348.0,4.6024219968547575
2,2,352.0,4.583129176686371
2,2,356.0,4.44084668326573
3,1,0.0,9.317395569903403e-05
3,1,4.0,9.116588939636047e-05
3,1,8.0,0.00012367163061057884
3,1,12.0,0.0001242814164233329
3,1,16.0,0.00010568197212768416
3,1,20.0,9.930859983475618e-05
3,1,24.0,0.00010185730729594245
3,1,28.0,8.349966347227698e-05
3,1,32.0,9.062482829621717e-05
3,1,36.0,8.80649109100081e-05
3,1,40.0,0.00010659891508118575
3,1,44.0,8.098351015761267e-05
3,1,48.0,0.00010617234964404213
3,1,52.0,0.00011030680593485504
3,1,56.0,0.00011282007918094761
3,1,60.0,0.00010174034774148625
3,1,64.0,0.00010493162771047739
3,1,68.0,9.215146115791746e-05
3,1,72.0,8.666628095378633e-05
3,1,76.0,0.00011085539340295006
3,1,80.0,0.00010683007723853758
3,1,84.0,0.00011456119979504926
3,1,88.0,0.00012538054630280483
3,1,92.0,0.00010995501756455285
3,1,96.0,0.00011185465998765599
3,1,100.0,0.00012171854372650358
3,1,104.0,8.633835390413129e-05
3,1,108.0,8.054778980632113e-05
3,1,112.0,0.00010554281767711848
3,1,116.0,0.00011554365852575575
3,1,120.0,9.228336756474182e-05
3,1,124.0,0.00010586096796919019
3,1,128.0,0.0001195026326008021
3,1,132.0,0.00012481154163944972
3,1,136.0,0.00011262290956598696
3,1,140.0,0.00011448561396652032
3,1,144.0,0.00010115349814622906
3,1,148.0,0.00011848316416844281
3,1,152.0,9.973289767629639e-05
3,1,156.0,0.00012597986375222848
3,1,160.0,0.00010196278785759821
3,1,164.0,9.649468631478616e-05
3,1,168.0,0.00011084099901117427
3,1,172.0,0.00010272604676545607
3,1,176.0,9.983274785053332e-05
3,1,180.0,0.00010128990560549065
3,1,184.0,8.767424764330236e-05
3,1,188.0,0.00011694210420252765
3,1,192.0,0.00011816391796468079
3,1,196.0,0.00011762356750470646
3,1,200.0,0.00010267981395194073
3,1,204.0,0.00011121087627054887
3,1,208.0,0.00011217237210001963
3,1,212.0,0.00010616024817634358
3,1,216.0,0.00011163050294656486
3,1,220.0,0.00010967562297467573
3,1,224.0,0.00010001752442531383
3,1,228.0,8.288221064508453e-05
3,1,232.0,0.0001001018458311481
3,1,236.0,0.00010978561540875489
3,1,240.0,0.0001023299398441019
3,1,244.0,9.497294927689621e-05
3,1,248.0,9.397826203627292e-05
3,1,252.0,9.449441189289098e-05
3,1,256.0,0.00010114810855558591
3,1,260.0,9.675137354136503e-05
3,1,264.0,0.00011482226119574729
3,1,268.0,0.037541355080877914
3,1,272.0,0.07948926385364864
3,1,276.0,0.12599829250817865
3,1,280.0,0.19830942608658328
3,1,284.0,0.22524485659531532
3,1,288.0,0.29291179307448545
3,1,292.0,0.3421344946866035
3,1,296.0,0.47110113666123526
3,1,300.0,0.4147291953790134
3,1,304.0,0.5290255755264058
3,1,308.0,0.6024077618374248
3,1,312.0,0.6530094546892544
3,1,316.0,0.702672526004811
3,1,320.0,0.8748987174700937
3,1,324.0,0.9767467225353461
3,1,328.0,1.026787730491349
3,1,332.0,1.036347721925554
3,1,336.0,1.1546795022054646
3,1,340.0,1.293109925888361
3,1,344.0,1.3164185050524893
3,1,348.0,1.4068349157821
3,1,352.0,1.5544281032943879
3,1,356.0,1.5798505536231757
3,2,0.0,0.0007855332437944762
3,2,4.0,0.0007468622733317584
3,2,8.0,0.0007902953550820604
3,2,12.0,0.0009134827568471026
3,2,16.0,0.000879455018187169
3,2,20.0,0.0006355460693783495
3,2,24.0,0.0007856913083370575
3,2,28.0,0.000747099523525818
3,2,32.0,0.0007075483033361968
3,2,36.0,0.0008293984488190283
3,2,40.0,0.0008340339351876948
3,2,44.0,0.0007842512506901739
3,2,48.0,0.0007469392215547524
3,2,52.0,0.0006303910365491294
3,2,56.0,0.0008133311603185017
3,2,60.0,0.0006495573750607373
3,2,64.0,0.0008347086898500066
3,2,68.0,0.0008156512811651512
3,2,72.0,0.0007211113088688623
3,2,76.0,0.0007042122795209758
3,2,80.0,0.0006765157907757422
3,2,84.0,0.0006571007057334609
3,2,88.0,0.0007432099667914944
3,2,92.0,0.00066273731658896
3,2,96.0,0.0007743789873712901
3,2,100.0,0.0007280278500359993
3,2,104.0,0.0006972422745436041
3,2,108.0,0.0009877407213806238
3,2,112.0,0.0008396503920591637
3,2,116.0,0.0008020506207325857
3,2,120.0,0.0006963617655052633
3,2,124.0,0.0007663344854138394
3,2,128.0,0.0007805873848354665
3,2,132.0,0.0008513466901125849
3,2,136.0,0.0006747867125067511
3,2,140.0,0.0007269339660431201
3,2,144.0,0.000964214057660942
3,2,148.0,0.0006573568176647059
3,2,152.0,0.000789736713448728
3,2,156.0,0.0008316955204369447
3,2,160.0,0.000848602954588771
3,2,164.0,0.0008205580846849275
3,2,168.0,0.0007857735581243827
3,2,172.0,0.0008874874173322976
3,2,176.0,0.0007409450000032094
3,2,180.0,0.0007627379206982262
3,2,184.0,0.0009241156480530319
3,2,188.0,0.0006709905596135356
3,2,192.0,0.0008553739844638002
3,2,196.0,0.0009737277962333558
3,2,200.0,0.0008907866364908685
3,2,204.0,0.0008420422678962548
3,2,208.0,0.0007056211699909411
3,2,212.0,0.0008947955911676469
3,2,216.0,0.0007748168907708226
3,2,220.0,0.0006752784088736192
3,2,224.0,0.0007637903487853926
3,2,228.0,0.0007870126855758203
3,2,232.0,0.0007579215621579798
3,2,236.0,0.0007968699265293892
3,2,240.0,0.0007998656662513817
3,2,244.0,0.0008681140686191538
3,2,248.0,0.005281186838297529
3,2,252.0,0.022678195440368847
3,2,256.0,0.05181766313097975
3,2,260.0,0.08532040637001562
3,2,264.0,0.10517882766956863
3,2,268.0,0.13286436611291547
3,2,272.0,0.1561914324036201
3,2,276.0,0.20349448010443522
3,2,280.0,0.2658684014714781
3,2,284.0,0.261625731253025
3,2,288.0,0.27564776772576083
3,2,292.0,0.2505019850282185
3,2,296.0,0.3440221791243289
3,2,300.0,0.3669729862109552
3,2,304.0,0.31571498292215866
3,2,308.0,0.433745178082649
3,2,312.0,0.5480360437342314
3,2,316.0,0.39157156254999653
3,2,320.0,0.5984729433905139
3,2,324.0,0.5535606551030678
3,2,328.0,0.6246061695638406
3,2,332.0,0.627617104429609
3,2,336.0,0.7481858582436504
3,2,340.0,0.6932388526801612
3,2,344.0,0.7040553106770377
3,2,348.0,0.7479099204394345
3,2,352.0,0.7650533039447701
3,2,356.0,0.9555127539818367
